date,store,sku,category,units_sold,inventory_on_hand,price,pred_lag_7_baseline,pred_ridge_regression,pred_random_forest,pred_gradient_boosting,best_model,forecast_units
2025-03-02,Boston,SKU-1001,Grocery,236,744,5.04,156.0,160.37,190.03,171.77,gradient_boosting,171.77
2025-03-03,Boston,SKU-1001,Grocery,100,625,5.03,107.0,149.13,146.15,148.61,gradient_boosting,148.61
2025-03-04,Boston,SKU-1001,Grocery,146,560,4.95,130.0,151.04,142.59,145.86,gradient_boosting,145.86
2025-03-05,Boston,SKU-1001,Grocery,177,454,4.98,124.0,146.14,141.23,145.21,gradient_boosting,145.21
2025-03-06,Boston,SKU-1001,Grocery,104,630,5.09,143.0,143.7,147.17,146.82,gradient_boosting,146.82
2025-03-07,Boston,SKU-1001,Grocery,221,615,4.99,166.0,164.2,186.74,176.63,gradient_boosting,176.63
2025-03-08,Boston,SKU-1001,Grocery,172,481,4.96,185.0,179.45,188.32,182.68,gradient_boosting,182.68
2025-03-09,Boston,SKU-1001,Grocery,216,430,5.03,236.0,176.07,182.12,173.74,gradient_boosting,173.74
2025-03-10,Boston,SKU-1001,Grocery,142,903,5.07,100.0,129.79,143.32,148.37,gradient_boosting,148.37
2025-03-11,Boston,SKU-1001,Grocery,132,743,4.85,146.0,147.57,155.19,142.89,gradient_boosting,142.89
2025-03-12,Boston,SKU-1001,Grocery,163,293,4.94,177.0,158.96,150.36,145.4,gradient_boosting,145.4
2025-03-13,Boston,SKU-1001,Grocery,182,359,4.91,104.0,154.4,144.62,146.54,gradient_boosting,146.54
2025-03-14,Boston,SKU-1001,Grocery,183,544,4.91,221.0,172.98,186.81,188.46,gradient_boosting,188.46
2025-03-15,Boston,SKU-1001,Grocery,188,404,4.96,172.0,172.61,190.71,184.03,gradient_boosting,184.03
2025-03-16,Boston,SKU-1001,Grocery,168,697,5.04,216.0,182.19,181.36,179.07,gradient_boosting,179.07
2025-03-17,Boston,SKU-1001,Grocery,129,558,4.4,142.0,155.63,165.53,156.55,gradient_boosting,156.55
2025-03-18,Boston,SKU-1001,Grocery,126,395,5.08,132.0,149.99,135.52,143.74,gradient_boosting,143.74
2025-03-19,Boston,SKU-1001,Grocery,98,626,4.91,163.0,158.59,148.9,144.07,gradient_boosting,144.07
2025-03-20,Boston,SKU-1001,Grocery,158,533,4.99,182.0,147.49,137.31,143.14,gradient_boosting,143.14
2025-03-21,Boston,SKU-1001,Grocery,146,803,5.0,183.0,165.56,171.42,167.02,gradient_boosting,167.02
2025-03-22,Boston,SKU-1001,Grocery,213,576,5.06,188.0,163.75,179.44,172.21,gradient_boosting,172.21
2025-03-23,Boston,SKU-1001,Grocery,237,609,4.91,168.0,170.97,173.06,171.81,gradient_boosting,171.81
2025-03-24,Boston,SKU-1001,Grocery,142,522,4.94,129.0,146.12,145.02,145.84,gradient_boosting,145.84
2025-03-25,Boston,SKU-1001,Grocery,129,772,4.99,126.0,140.66,148.62,142.4,gradient_boosting,142.4
2025-03-26,Boston,SKU-1001,Grocery,170,415,5.12,98.0,151.35,135.03,144.47,gradient_boosting,144.47
2025-03-27,Boston,SKU-1001,Grocery,130,595,5.06,158.0,163.12,145.19,144.85,gradient_boosting,144.85
2025-03-28,Boston,SKU-1001,Grocery,128,581,4.94,146.0,165.07,196.53,180.89,gradient_boosting,180.89
2025-03-29,Boston,SKU-1001,Grocery,209,427,4.91,213.0,177.47,187.63,185.23,gradient_boosting,185.23
2025-03-30,Boston,SKU-1001,Grocery,216,502,4.97,237.0,176.82,183.36,177.08,gradient_boosting,177.08
2025-03-31,Boston,SKU-1001,Grocery,142,688,5.06,142.0,143.2,140.67,142.29,gradient_boosting,142.29
2025-04-01,Boston,SKU-1001,Grocery,154,258,5.13,129.0,150.16,143.73,145.2,gradient_boosting,145.2
2025-04-02,Boston,SKU-1001,Grocery,138,431,5.04,170.0,148.96,144.93,143.81,gradient_boosting,143.81
2025-04-03,Boston,SKU-1001,Grocery,142,455,4.95,130.0,155.93,143.93,145.47,gradient_boosting,145.47
