date,store,sku,category,price,promotion,holiday,weather_index,units_sold,inventory_on_hand,revenue
2024-01-01,Providence,SKU-1001,Grocery,5.05,0,0,0.78,75,330,378.75
2024-01-02,Providence,SKU-1001,Grocery,4.99,0,0,0.567,132,619,658.68
2024-01-03,Providence,SKU-1001,Grocery,5.02,0,0,0.568,122,335,612.44
2024-01-04,Providence,SKU-1001,Grocery,4.98,0,0,0.592,140,449,697.2
2024-01-05,Providence,SKU-1001,Grocery,5.03,0,0,0.72,157,531,789.71
2024-01-06,Providence,SKU-1001,Grocery,4.95,0,0,0.58,161,725,796.95
2024-01-07,Providence,SKU-1001,Grocery,4.93,0,0,0.758,167,526,823.31
2024-01-08,Providence,SKU-1001,Grocery,5.0,0,0,0.709,136,583,680.0
2024-01-09,Providence,SKU-1001,Grocery,4.51,1,0,0.76,106,486,478.06
2024-01-10,Providence,SKU-1001,Grocery,4.97,0,0,0.866,101,680,501.97
2024-01-11,Providence,SKU-1001,Grocery,5.0,0,0,0.759,134,693,670.0
2024-01-12,Providence,SKU-1001,Grocery,5.05,0,0,0.667,114,395,575.7
2024-01-13,Providence,SKU-1001,Grocery,5.0,0,0,0.775,139,514,695.0
2024-01-14,Providence,SKU-1001,Grocery,5.02,0,0,0.615,139,422,697.78
2024-01-15,Providence,SKU-1001,Grocery,4.95,0,0,0.698,130,591,643.5
2024-01-16,Providence,SKU-1001,Grocery,4.96,0,0,0.688,83,349,411.68
2024-01-17,Providence,SKU-1001,Grocery,5.02,0,0,0.591,111,703,557.22
2024-01-18,Providence,SKU-1001,Grocery,4.92,0,0,0.677,99,487,487.08
2024-01-19,Providence,SKU-1001,Grocery,5.02,0,0,0.731,136,254,682.72
2024-01-20,Providence,SKU-1001,Grocery,5.01,0,0,0.707,196,508,981.96
2024-01-21,Providence,SKU-1001,Grocery,5.01,0,0,0.869,178,603,891.78
2024-01-22,Providence,SKU-1001,Grocery,4.94,0,0,0.596,112,304,553.28
2024-01-23,Providence,SKU-1001,Grocery,4.39,1,0,0.587,155,632,680.45
2024-01-24,Providence,SKU-1001,Grocery,5.02,0,0,0.592,74,605,371.48
2024-01-25,Providence,SKU-1001,Grocery,4.94,0,0,0.695,146,577,721.24
2024-01-26,Providence,SKU-1001,Grocery,4.86,0,0,0.655,152,740,738.72
2024-01-27,Providence,SKU-1001,Grocery,4.46,1,0,0.572,154,404,686.84
2024-01-28,Providence,SKU-1001,Grocery,5.05,0,0,0.607,179,542,903.95
2024-01-29,Providence,SKU-1001,Grocery,4.94,0,0,0.77,114,284,563.16
2024-01-30,Providence,SKU-1001,Grocery,5.11,0,0,0.737,121,586,618.31
2024-01-31,Providence,SKU-1001,Grocery,4.96,0,0,0.852,135,781,669.6
2024-02-01,Providence,SKU-1001,Grocery,4.89,0,0,0.918,166,512,811.74
2024-02-02,Providence,SKU-1001,Grocery,4.91,0,0,0.614,173,426,849.43
2024-02-03,Providence,SKU-1001,Grocery,5.02,0,0,0.891,162,650,813.24
2024-02-04,Providence,SKU-1001,Grocery,4.93,0,0,0.577,131,437,645.83
2024-02-05,Providence,SKU-1001,Grocery,4.99,0,0,0.666,117,663,583.83
2024-02-06,Providence,SKU-1001,Grocery,4.98,0,0,0.641,120,545,597.6
2024-02-07,Providence,SKU-1001,Grocery,4.5,1,0,0.753,224,660,1008.0
2024-02-08,Providence,SKU-1001,Grocery,4.88,0,0,0.655,133,663,649.04
2024-02-09,Providence,SKU-1001,Grocery,4.83,0,0,0.707,128,449,618.24
2024-02-10,Providence,SKU-1001,Grocery,4.98,0,0,0.516,115,885,572.7
2024-02-11,Providence,SKU-1001,Grocery,5.13,0,0,1.0,129,500,661.77
2024-02-12,Providence,SKU-1001,Grocery,4.92,0,0,0.699,145,601,713.4
2024-02-13,Providence,SKU-1001,Grocery,4.89,0,0,0.7,121,606,591.69
2024-02-14,Providence,SKU-1001,Grocery,5.07,0,0,0.748,136,474,689.52
2024-02-15,Providence,SKU-1001,Grocery,5.01,0,0,0.718,176,744,881.76
2024-02-16,Providence,SKU-1001,Grocery,4.42,1,0,0.872,209,614,923.78
2024-02-17,Providence,SKU-1001,Grocery,5.02,0,0,0.596,146,528,732.92
2024-02-18,Providence,SKU-1001,Grocery,4.98,0,0,0.7,166,727,826.68
2024-02-19,Providence,SKU-1001,Grocery,5.0,0,0,0.765,121,256,605.0
2024-02-20,Providence,SKU-1001,Grocery,4.88,0,0,0.834,123,490,600.24
2024-02-21,Providence,SKU-1001,Grocery,5.09,0,0,0.8,171,667,870.39
2024-02-22,Providence,SKU-1001,Grocery,5.02,0,0,0.829,124,554,622.48
2024-02-23,Providence,SKU-1001,Grocery,4.9,0,0,0.824,159,737,779.1
2024-02-24,Providence,SKU-1001,Grocery,5.04,0,0,0.541,158,272,796.32
2024-02-25,Providence,SKU-1001,Grocery,5.04,0,0,0.646,132,509,665.28
2024-02-26,Providence,SKU-1001,Grocery,4.51,1,0,0.868,179,123,807.29
2024-02-27,Providence,SKU-1001,Grocery,5.02,0,0,0.923,83,482,416.66
2024-02-28,Providence,SKU-1001,Grocery,5.1,0,0,0.773,151,389,770.1
2024-02-29,Providence,SKU-1001,Grocery,5.01,0,0,0.756,137,399,686.37
2024-03-01,Providence,SKU-1001,Grocery,5.02,0,0,0.847,135,465,677.7
2024-03-02,Providence,SKU-1001,Grocery,4.93,0,0,0.751,190,395,936.7
2024-03-03,Providence,SKU-1001,Grocery,5.05,0,0,0.793,236,494,1191.8
2024-03-04,Providence,SKU-1001,Grocery,4.96,0,0,0.739,163,275,808.48
2024-03-05,Providence,SKU-1001,Grocery,4.93,0,0,0.778,145,600,714.85
2024-03-06,Providence,SKU-1001,Grocery,4.99,0,0,0.668,142,553,708.58
2024-03-07,Providence,SKU-1001,Grocery,5.0,0,0,0.815,138,625,690.0
2024-03-08,Providence,SKU-1001,Grocery,5.0,0,0,0.821,155,645,775.0
2024-03-09,Providence,SKU-1001,Grocery,4.55,1,0,0.482,152,222,691.6
2024-03-10,Providence,SKU-1001,Grocery,4.54,1,0,0.687,209,570,948.86
